id,data1,data2,email,gender,ip_address
1,363,1,5203,Female,23.65.175.75
2,337,2,9405,Female,5.220.163.32
3,223,3,1350,Female,216.43.54.195
4,452,4,1120,Male,140.116.107.242
5,348,5,5564,Female,49.147.181.238
6,886,6,-928,Female,100.211.118.67
7,205,7,9265,Male,192.153.122.55
8,532,8,8837,Female,166.169.209.116
9,318,9,9124,Female,6.202.198.25
10,770,10,3804,Male,123.90.101.123
11,593,11,4312,Female,111.64.27.44
12,329,12,623,Female,88.85.239.27
13,809,13,4373,Male,108.151.240.9
14,827,14,3581,Male,29.135.242.88
15,566,15,2696,Male,144.219.231.127
16,127,16,8602,Female,158.200.95.110
17,224,17,59,Female,179.151.62.220
18,666,18,6901,Female,138.12.105.131
19,215,19,808,Female,134.62.6.72
20,322,20,3294,Female,140.13.49.169
21,843,21,1040,Male,246.113.27.250
22,600,22,5935,Male,9.188.27.80
23,857,23,6422,Male,233.209.0.211
24,125,24,831,Female,230.148.218.193
25,489,25,1792,Female,78.69.31.168
26,569,26,5320,Female,0.147.50.0
27,727,27,-412,Male,49.190.19.190
28,208,28,6331,Male,5.100.166.168
29,662,29,-553,Male,244.111.153.14
30,439,30,281,Male,86.82.96.38
31,955,31,8592,Male,183.145.81.239
32,336,32,2662,Female,64.43.46.104
33,462,33,3589,Female,60.226.79.51
34,804,34,3997,Female,43.77.138.51
35,644,35,6802,Male,167.13.219.54
36,132,36,729,Male,192.179.130.193
37,905,37,7606,Female,145.202.112.183
38,101,38,1591,Female,31.15.218.68
39,65,39,688,Female,51.154.85.101
40,734,40,477,Male,48.119.165.16
41,811,41,6385,Male,240.91.180.225
42,135,42,4204,Male,59.60.17.120
43,852,43,2400,Female,126.209.154.29
44,32,44,8046,Male,107.170.97.16
45,825,45,5359,Male,243.183.230.54
46,958,46,3993,Male,138.250.50.107
47,21,47,5248,Female,122.175.193.200
48,823,48,5972,Female,237.109.43.241
49,174,49,6367,Female,61.98.194.244
50,82,50,326,Male,179.3.78.73
51,475,51,9660,Male,93.182.35.22
52,566,52,376,Male,120.106.143.106
53,472,53,-11,Male,186.101.15.92
54,984,54,4979,Female,7.105.195.85
55,679,55,9898,Male,213.188.221.91
56,558,56,7961,Female,206.40.152.252
57,741,57,8174,Female,118.251.168.188
58,608,58,-374,Female,66.44.1.53
59,712,59,5308,Male,195.43.219.82
60,248,60,1103,Male,156.20.134.112
61,422,61,-733,Female,130.253.210.180
62,586,62,3462,Male,113.169.189.19
63,910,63,6546,Male,7.89.151.245
64,811,64,2712,Male,107.52.9.235
65,305,65,7123,Male,202.17.143.20
66,737,66,9966,Male,142.53.216.77
67,612,67,8632,Male,96.192.26.160
68,848,68,-922,Male,64.50.162.150
69,16,69,-624,Female,35.85.186.231
70,581,70,3007,Female,164.145.244.156
71,613,71,9686,Male,29.202.207.185
72,57,72,6693,Female,198.134.90.208
73,810,73,8993,Female,169.29.69.94
74,985,74,4060,Male,215.191.80.203
75,601,75,9614,Female,157.2.177.102
76,469,76,300,Female,231.245.60.193
77,94,77,6681,Male,190.115.106.171
78,198,78,3882,Male,51.14.138.56
79,923,79,5787,Female,0.32.12.226
80,716,80,1843,Female,210.45.20.128
81,702,81,5221,Female,45.240.180.116
